run_timestamp,date,mode,min_edge,kelly_fraction,bankroll,num_games,num_bets,avg_edge,max_edge,total_stake,status
2026-01-22T14:13:50.240612,2026-01-22,live,0.1,0.25,10000.0,49,23,0.2666484049589783,0.5242530514592216,17753,success
2026-01-23T14:09:19.039951,2026-01-23,live,0.1,0.25,10000.0,23,10,0.2976178545698181,0.5243645780330909,9373,success
2026-01-24T14:06:26.568764,2026-01-24,live,0.1,0.25,10000.0,112,44,0.26741312448452925,0.5517720724811144,40609,success
2026-01-25T14:06:08.982118,2026-01-25,live,0.1,0.25,10000.0,6,3,0.20848193756135833,0.2689915293174907,2761,success
2026-01-26T14:12:07.463070,2026-01-26,live,0.1,0.25,10000.0,13,3,0.34954647571482966,0.3952580610616465,1964,success
2026-01-27T14:13:24.988217,2026-01-27,live,0.1,0.25,10000.0,35,12,0.2534815083853431,0.4525356146918232,10598,success
2026-01-28T14:13:36.980975,2026-01-28,live,0.1,0.25,10000.0,53,22,0.2716189274411358,0.39281326755134294,16848,success
2026-01-29T14:18:42.791468,2026-01-29,live,0.1,0.25,10000.0,56,23,0.3251462615542572,0.5150808552862529,19849,success
2026-01-30T14:15:47.398345,2026-01-30,live,0.1,0.25,10000.0,26,8,0.23113142601695613,0.29239038613384083,6688,success
2026-01-31T14:08:12.632142,2026-01-31,live,0.1,0.25,10000.0,140,68,0.3133476435236911,0.5138700778763496,57534,success
2026-02-01T14:09:43.886829,2026-02-01,live,0.1,0.25,10000.0,25,8,0.31403546494926493,0.4762872760598591,6995,success
2026-02-02T14:19:14.690731,2026-02-02,live,0.1,0.25,10000.0,19,8,0.3159043154814605,0.40449906728959584,6821,success
2026-02-03T14:21:07.892282,2026-02-03,live,0.1,0.25,10000.0,30,7,0.2351361921701787,0.3541486244887393,5541,success
2026-02-04T14:20:20.492675,2026-02-04,live,0.1,0.25,10000.0,62,24,0.3215071819091026,0.5242741616114288,21459,success
2026-02-05T14:21:48.144020,2026-02-05,live,0.1,0.25,10000.0,52,23,0.2931818147764524,0.47829956990178585,19477,success
2026-02-06T14:20:10.027221,2026-02-06,live,0.1,0.25,10000.0,15,4,0.23785694432879528,0.33776883080202746,3173,success
2026-02-07T14:09:40.465529,2026-02-07,live,0.1,0.25,10000.0,155,72,0.31893313843696774,0.5111542514878525,62576,success
