date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-01-07,Nevada Wolf Pack,San Diego St Aztecs,away,106,0.9504125598238495,0.4854368932038835,0.46497566661996603,0.43865628926411887,0.1,1000,away_ml
2026-01-07,Georgia Tech Yellow Jackets,Syracuse,away,-170,0.9673984604316571,0.6296296296296297,0.33776883080202746,0.5742070123634465,0.1,1000,away_ml
2026-01-07,Colorado St Rams,New Mexico Lobos,away,-128,0.8943146038742278,0.5614035087719298,0.332911095102298,0.42612620173094146,0.1,1000,away_ml
2026-01-07,Kent State Golden Flashes,Bowling Green Falcons,home,-130,0.8213167829774355,0.5652173913043478,0.2560993916730877,0.33292920917501406,0.08323230229375352,832,home_ml
2026-01-07,Houston Cougars,Texas Tech Red Raiders,home,-295,0.94735019060114,0.7468354430379747,0.20051474756316534,0.5915185053113378,0.1,1000,home_ml
2026-01-07,Wisconsin Badgers,UCLA,away,160,0.5673402230149989,0.38461538461538464,0.18272483839961423,0.11420302399975889,0.028550755999939722,286,away_ml
2026-01-07,Butler,St. John's Red Storm,away,-196,0.8199268851205727,0.6621621621621622,0.15776472295841049,0.3092188569984846,0.07730471424962115,773,away_ml
2026-01-07,Minnesota Golden Gophers,Iowa Hawkeyes,away,-310,0.9075631258076635,0.7560975609756098,0.15146556483205376,0.4695432509793667,0.1,1000,away_ml
