date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2025-12-31,Tennessee Tech Golden Eagles,Tennessee St,away,132,0.9553990607917116,0.43103448275862066,0.5243645780330909,0.3972458924493112,0.0993114731123278,993,away_ml
2025-12-31,Davidson,Duquesne Dukes,away,136,0.9365350746940504,0.423728813559322,0.5128062611347284,0.37706342730494724,0.09426585682623681,943,away_ml
2025-12-31,Colorado St Rams,Nevada Wolf Pack,away,138,0.9270948184775685,0.42016806722689076,0.5069267512506777,0.36733822554396933,0.09183455638599233,918,away_ml
2025-12-31,Eastern Michigan Eagles,Massachusetts Minutemen,away,106,0.9672686642839129,0.4854368932038835,0.4818317710800294,0.45455827460380127,0.1,1000,away_ml
2025-12-31,Seattle Redhawks,Washington St Cougars,away,172,0.7217956833122687,0.36764705882352944,0.3541486244887393,0.20590036307484846,0.051475090768712116,515,away_ml
2025-12-30,Central Michigan Chippewas,Ohio Bobcats,home,210,0.5445999513038401,0.3225806451612903,0.22201930614254978,0.10572347911549988,0.02643086977887497,264,home_ml
2025-12-31,Charlotte 49ers,Temple Owls,away,-104,0.707829753670329,0.5098039215686274,0.19802583210170155,0.2059468653857696,0.0514867163464424,515,away_ml
2025-12-31,Bowling Green Falcons,Miami (OH) RedHawks,away,210,0.5185706573659364,0.3225806451612903,0.19599001220464612,0.09332857724030767,0.023332144310076918,233,away_ml
2025-12-30,Princeton,Vermont Catamounts,away,-176,0.8199268851205727,0.6376811594202898,0.18224572570028286,0.3207524772324977,0.08018811930812443,802,away_ml
2025-12-31,Oregon St Beavers,San Francisco Dons,away,-192,0.8347785360843231,0.6575342465753424,0.17724428950898063,0.3403090358572427,0.08507725896431068,851,away_ml
2025-12-31,Marquette Golden Eagles,Seton Hall Pirates,away,-140,0.7526144229467626,0.5833333333333334,0.16928108961342925,0.2369935254588009,0.059248381364700224,592,away_ml
2025-12-31,Loyola Marymount Lions,Pacific,away,205,0.466168511234224,0.32786885245901637,0.1382996587752076,0.06746324818302811,0.016865812045757027,169,away_ml
