date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-03-05,Mercyhurst Lakers,Fairleigh Dickinson Knights,away,172,0.8977638252524387,0.36764705882352944,0.5301167664289093,0.3082074223423891,0.07705185558559728,771,away_ml
2026-03-05,Central Connecticut St,Wagner Seahawks,away,172,0.8433459155754279,0.36764705882352944,0.4756988567518985,0.2765691027627317,0.06914227569068293,691,away_ml
2026-03-04,Bellarmine Knights,Jacksonville Dolphins,home,-142,0.9301906037574951,0.5867768595041323,0.3434137442533628,0.4876475168397752,0.1,1000,home_ml
2026-03-05,Oakland Golden Grizzlies,Northern Kentucky Norse,home,-154,0.9097552787529688,0.6062992125984252,0.30345606615454357,0.4673223418779971,0.1,1000,home_ml
2026-03-05,Pittsburgh Panthers,Florida St Seminoles,away,-152,0.895564989308444,0.6031746031746031,0.29239038613384083,0.44443338692343803,0.1,1000,away_ml
2026-03-04,James Madison Dukes,Louisiana Ragin' Cajuns,home,-245,0.9780941420519699,0.7101449275362319,0.26794921451573794,0.656475575563558,0.1,1000,home_ml
2026-03-04,La Salle Explorers,Fordham Rams,away,-148,0.8631157714076357,0.5967741935483871,0.2663415778592486,0.394185535231688,0.098546383807922,985,away_ml
2026-03-05,Charlotte 49ers,UAB Blazers,away,-142,0.8459570938619658,0.5867768595041323,0.25918023435783355,0.3680359327881237,0.09200898319703092,920,away_ml
2026-03-05,Le Moyne Dolphins,Stonehill Skyhawks,home,-300,0.9981482400754691,0.75,0.2481482400754691,0.7444447202264074,0.1,1000,home_ml
2026-03-05,Georgia Tech Yellow Jackets,California Golden,away,-166,0.8606194688011565,0.6240601503759399,0.2365593184252166,0.3926884685858596,0.0981721171464649,982,away_ml
2026-03-05,DePaul Blue Demons,Villanova Wildcats,away,-164,0.8532987653108401,0.6212121212121212,0.23208664409871893,0.380622096321899,0.09515552408047474,952,away_ml
2026-03-04,Indiana Hoosiers,Minnesota Golden Gophers,home,-345,0.9919751210109788,0.7752808988764045,0.21669422213457434,0.7475950663642816,0.1,1000,home_ml
2026-03-05,Detroit Mercy Titans,Milwaukee Panthers,home,-154,0.8177703490624046,0.6062992125984252,0.21147113646397941,0.3256655501545283,0.08141638753863208,814,home_ml
2026-03-05,Arkansas Razorbacks,Texas Longhorns,home,-345,0.975023785244979,0.7752808988764045,0.1997428863685745,0.6891129579715822,0.1,1000,home_ml
2026-03-05,SIU-Edwardsville Cougars,Eastern Illinois Panthers,away,210,0.5185706573659364,0.3225806451612903,0.19599001220464612,0.09332857724030767,0.023332144310076918,233,away_ml
2026-03-05,SMU Mustangs,Miami Hurricanes,away,114,0.6556457893850003,0.4672897196261682,0.18835606975883207,0.16522462259546677,0.041306155648866694,413,away_ml
2026-03-05,North Texas Mean Green,Rice Owls,home,-400,0.987733477934273,0.8,0.18773347793427297,0.7509339117370919,0.1,1000,home_ml
2026-03-05,Washington,USC Trojans,home,-300,0.9071890117773174,0.75,0.15718901177731737,0.4715670353319522,0.1,1000,home_ml
