date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-03-21,Michigan St,Louisville,away,172,0.7217956833122687,0.36764705882352944,0.3541486244887393,0.20590036307484846,0.051475090768712116,515,away_ml
2026-03-22,Kansas,St. John's Red Storm,away,-160,0.9604291135888192,0.6153846153846154,0.3450444982042038,0.552071197126726,0.1,1000,away_ml
2026-03-23,Connecticut,UCLA,away,160,0.5673402230149989,0.38461538461538464,0.18272483839961423,0.11420302399975889,0.028550755999939722,286,away_ml
2026-03-22,Nevada Wolf Pack,Liberty Flames,home,-400,0.969772427577546,0.8,0.16977242757754596,0.6790897103101838,0.1,1000,home_ml
