date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-01-31,Brown,Harvard Crimson,away,-152,0.895564989308444,0.6031746031746031,0.29239038613384083,0.44443338692343803,0.1,1000,away_ml
2026-01-31,Columbia Lions,Pennsylvania Quakers,home,-245,0.9945262544127064,0.7101449275362319,0.28438132687647444,0.6967342508473624,0.1,1000,home_ml
2026-01-30,Cornell Big Red,Princeton,away,215,0.5651215682609463,0.31746031746031744,0.24766125080062884,0.11519127944215296,0.02879781986053824,288,away_ml
2026-01-31,Detroit Mercy Titans,Northern Kentucky Norse,away,-275,0.9755101852496464,0.7333333333333333,0.2421768519163131,0.6659863427698608,0.1,1000,away_ml
2026-01-31,Manhattan Jaspers,Rider Broncs,home,-310,0.9799996780981248,0.7560975609756098,0.22390211712251507,0.6940965630797968,0.1,1000,home_ml
2026-01-31,Charlotte 49ers,Rice Owls,home,-315,0.9545846172380515,0.7590361445783133,0.1955484726597383,0.6159776888781756,0.1,1000,home_ml
2026-01-31,Quinnipiac Bobcats,Sacred Heart Pioneers,home,-430,0.9953161721695429,0.8113207547169812,0.18399541745256176,0.7911802950460157,0.1,1000,home_ml
2026-01-31,Grand Canyon Antelopes,Boise State Broncos,away,112,0.650693698381124,0.4716981132075472,0.17899558517357683,0.15981748676212215,0.03995437169053054,400,away_ml
