date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-01-30,The Citadel,VMI Keydets,away,126,0.9575587313924476,0.4424778761061947,0.5150808552862529,0.4087943295922643,0.1,1000,away_ml
2026-01-30,Abilene Christian,Utah Tech Trailblazers,away,126,0.9575587313924476,0.4424778761061947,0.5150808552862529,0.4087943295922643,0.1,1000,away_ml
2026-01-30,South Carolina Upstate,Longwood Lancers,away,134,0.9325431902165351,0.42735042735042733,0.5051927628661077,0.3770095245269461,0.09425238113173652,943,away_ml
2026-01-30,Morehead St Eagles,SIU-Edwardsville Cougars,away,104,0.9684956483331584,0.49019607843137253,0.47829956990178585,0.459903432597871,0.1,1000,away_ml
2026-01-30,North Florida Ospreys,Stetson Hatters,away,104,0.9683637543215657,0.49019607843137253,0.4781676758901932,0.45977661143287807,0.1,1000,away_ml
2026-01-30,Middle Tennessee Blue Raiders,Liberty Flames,home,112,0.9089630367866038,0.4716981132075472,0.43726492357905666,0.3904151103384434,0.09760377758461085,976,home_ml
2026-01-30,Stonehill Skyhawks,Fairleigh Dickinson Knights,away,104,0.8910449866796762,0.49019607843137253,0.4008489082483037,0.38543164254644585,0.09635791063661146,964,away_ml
2026-01-30,UC Irvine Anteaters,Hawai'i Rainbow Warriors,away,106,0.8664217055545216,0.4854368932038835,0.3809848123506381,0.3594196342930548,0.0898549085732637,899,away_ml
2026-01-29,Chattanooga Mocs,Wofford Terriers,away,-102,0.8721832187797947,0.504950495049505,0.3672327237302897,0.37457737820489545,0.09364434455122386,936,away_ml
2026-01-30,Southern Miss Golden Eagles,Appalachian St Mountaineers,away,-118,0.8841145242849975,0.5412844036697247,0.34283012061527274,0.40453954232602185,0.1,1000,away_ml
2026-01-30,Louisiana Ragin' Cajuns,Georgia St Panthers,away,-128,0.8943146038742278,0.5614035087719298,0.332911095102298,0.42612620173094146,0.1,1000,away_ml
2026-01-31,Michigan St,Michigan Wolverines,away,-130,0.8943146038742278,0.5652173913043478,0.32909721256988,0.42782637634084403,0.1,1000,away_ml
2026-01-30,Wagner Seahawks,Central Connecticut St,away,-112,0.8557107920208769,0.5283018867924528,0.32740890522842403,0.3666979738558349,0.09167449346395873,917,away_ml
2026-01-30,Eastern Illinois Panthers,Tenn-Martin Skyhawks,away,-192,0.9769750251373124,0.6575342465753424,0.31944077856196995,0.6133262948389822,0.1,1000,away_ml
2026-01-30,Southern Indiana Screaming Eagles,Lindenwood Lions,away,-192,0.9583266086107978,0.6575342465753424,0.30079236203545534,0.5775213351080741,0.1,1000,away_ml
2026-01-30,Sacramento St Hornets,Montana St Bobcats,away,-280,0.9688348341057992,0.7368421052631579,0.23199272884264133,0.6495796407593956,0.1,1000,away_ml
2026-01-30,UC San Diego Tritons,UC Santa Barbara Gauchos,home,-200,0.8762218363360579,0.6666666666666666,0.20955516966939125,0.4191103393387825,0.1,1000,home_ml
2026-01-30,CSU Northridge Matadors,UC Davis Aggies,away,110,0.6754420625419089,0.47619047619047616,0.1992515863514327,0.18113780577402971,0.04528445144350743,453,away_ml
2026-01-30,Vermont Catamounts,UMBC Retrievers,home,-360,0.967746953669485,0.782608695652174,0.1851382580173111,0.6664977288623202,0.1,1000,home_ml
2026-01-30,Memphis,Florida Atlantic Owls,away,112,0.650693698381124,0.4716981132075472,0.17899558517357683,0.15981748676212215,0.03995437169053054,400,away_ml
2026-01-30,South Alabama Jaguars,Coastal Carolina Chanticleers,home,-250,0.8772839720382024,0.7142857142857143,0.1629982577524881,0.4074956443812204,0.1,1000,home_ml
2026-01-30,Hofstra Pride,Charleston Cougars,away,176,0.5130299798744393,0.36231884057971014,0.15071113929472918,0.0856313291447325,0.021407832286183124,214,away_ml
2026-01-30,LIU Sharks,Le Moyne Dolphins,away,220,0.4415877293941647,0.3125,0.12908772939416469,0.05867624063371121,0.014669060158427803,147,away_ml
