date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-02-21,Northwestern St Demons,Houston Christian,away,126,0.9575587313924476,0.4424778761061947,0.5150808552862529,0.4087943295922643,0.1,1000,away_ml
2026-02-21,Arkansas-Pine Bluff Golden Lions,Prairie View Panthers,away,138,0.9270948184775685,0.42016806722689076,0.5069267512506777,0.36733822554396933,0.09183455638599233,918,away_ml
2026-02-22,Weber State,Montana Grizzlies,away,108,0.9695800614890846,0.4807692307692308,0.4888108307198538,0.45260262103690163,0.1,1000,away_ml
2026-02-21,South Carolina Gamecocks,Mississippi St,away,106,0.9504125598238495,0.4854368932038835,0.46497566661996603,0.43865628926411887,0.1,1000,away_ml
2026-02-21,Pittsburgh Panthers,Notre Dame Fighting Irish,away,106,0.9415902757193052,0.4854368932038835,0.4561533825154217,0.4303333797315299,0.1,1000,away_ml
2026-02-21,UNC Asheville,Radford Highlanders,away,102,0.9308100538055996,0.49504950495049505,0.4357605488551045,0.42721622436774953,0.1,1000,away_ml
2026-02-21,East Texas A&M Lions,Incarnate Word Cardinals,away,112,0.9032325444406403,0.4716981132075472,0.4315344312330931,0.38529859931526167,0.09632464982881542,963,away_ml
2026-02-21,San Diego Toreros,Loyola Marymount Lions,away,-138,0.9851961426340677,0.5798319327731093,0.40536420986095845,0.5594026096081226,0.1,1000,away_ml
2026-02-21,Arkansas-Little Rock Trojans,SE Missouri St Redhawks,away,-140,0.9762153906211356,0.5833333333333334,0.39288205728780223,0.550034880202923,0.1,1000,away_ml
2026-02-21,Florida Gulf Coast Eagles,Central Arkansas,away,-134,0.9601020186303795,0.5726495726495726,0.38745244598080686,0.5191862776142813,0.1,1000,away_ml
2026-02-22,Utah Utes,UCF Knights,away,-140,0.9655157307704083,0.5833333333333334,0.38218239743707494,0.5350553564119048,0.1,1000,away_ml
2026-02-21,Idaho State Bengals,Montana St Bobcats,away,-152,0.9788199633861234,0.6031746031746031,0.3756453602115203,0.5709809475215107,0.1,1000,away_ml
2026-02-21,Mercyhurst Lakers,LIU Sharks,away,-154,0.9788199633861234,0.6062992125984252,0.3725207507876982,0.5736819562130552,0.1,1000,away_ml
2026-02-21,Florida A&M Rattlers,Alabama St Hornets,away,-124,0.9257635268187974,0.5535714285714286,0.37219209824736876,0.4615182018267373,0.1,1000,away_ml
2026-02-21,Alcorn St Braves,Jackson St,away,-124,0.9257635268187974,0.5535714285714286,0.37219209824736876,0.4615182018267373,0.1,1000,away_ml
2026-02-21,Stonehill Skyhawks,Le Moyne Dolphins,away,-148,0.9672898920865749,0.5967741935483871,0.3705156985381878,0.548363233836518,0.1,1000,away_ml
2026-02-22,Lamar,New Orleans Privateers,away,160,0.7543086344359717,0.38461538461538464,0.3696932498205871,0.23105828113786692,0.05776457028446673,578,away_ml
2026-02-21,South Carolina Upstate,Presbyterian Blue Hose,away,-120,0.9089691269114771,0.5454545454545454,0.3635145814569317,0.436217497748318,0.1,1000,away_ml
2026-02-21,Coppin St Eagles,Maryland-Eastern Shore Hawks,away,-168,0.9817002423169434,0.6268656716417911,0.35483457067515234,0.5961220787342558,0.1,1000,away_ml
2026-02-21,Colorado Buffaloes,Oklahoma St Cowboys,away,172,0.7217956833122687,0.36764705882352944,0.3541486244887393,0.20590036307484846,0.051475090768712116,515,away_ml
2026-02-21,Georgia St Panthers,James Madison Dukes,away,-130,0.9171864539177093,0.5652173913043478,0.35196906261336147,0.45755978139736997,0.1,1000,away_ml
2026-02-22,Sacramento St Hornets,Idaho Vandals,away,-172,0.9837142073973844,0.6323529411764706,0.3513612662209138,0.6043413778999716,0.1,1000,away_ml
2026-02-21,UC Riverside Highlanders,UC Davis Aggies,away,-170,0.9785127569853962,0.6296296296296297,0.34888312735576654,0.593101316504803,0.1,1000,away_ml
2026-02-21,St. Francis (PA) Red Flash,Wagner Seahawks,away,-132,0.9171864539177093,0.5689655172413793,0.3482209366763299,0.45965163641275547,0.1,1000,away_ml
2026-02-21,Villanova Wildcats,Connecticut,away,-160,0.9597176151472829,0.6153846153846154,0.3443329997626675,0.550932799620268,0.1,1000,away_ml
2026-02-22,Long Beach St 49ers,CSU Northridge Matadors,away,-176,0.9753448617407963,0.6376811594202898,0.33766370232050646,0.5942881160840912,0.1,1000,away_ml
2026-02-21,Stetson Hatters,North Florida Ospreys,away,136,0.7555680119236362,0.423728813559322,0.3318391983643142,0.24399941056199567,0.06099985264049892,610,away_ml
2026-02-21,Louisiana Ragin' Cajuns,Texas State Bobcats,home,160,0.7111561709299246,0.38461538461538464,0.3265407863145399,0.20408799144658743,0.05102199786164686,510,home_ml
2026-02-21,UMBC Retrievers,Albany Great Danes,away,210,0.6463306604856651,0.3225806451612903,0.3237500153243748,0.154166673963988,0.038541668490997,385,away_ml
2026-02-21,Portland St Vikings,Eastern Washington Eagles,away,210,0.6463306604856651,0.3225806451612903,0.3237500153243748,0.154166673963988,0.038541668490997,385,away_ml
2026-02-21,USC Trojans,Oregon Ducks,away,205,0.6456172631257548,0.32786885245901637,0.3177484106667385,0.1549992247154822,0.03874980617887055,387,away_ml
2026-02-21,Vanderbilt Commodores,Tennessee Volunteers,home,-194,0.975720487796653,0.6598639455782312,0.31585654221842174,0.6127616919037382,0.1,1000,home_ml
2026-02-21,Chicago St Cougars,Central Connecticut St,away,-200,0.9769750251373124,0.6666666666666666,0.31030835847064575,0.6206167169412915,0.1,1000,away_ml
2026-02-21,Denver Pioneers,St. Thomas (MN) Tommies,away,-215,0.98956547906903,0.6825396825396826,0.30702579652934747,0.6601054625380971,0.1,1000,away_ml
2026-02-21,Cornell Big Red,Harvard Crimson,home,-200,0.9705169533967647,0.6666666666666666,0.30385028673009806,0.6077005734601961,0.1,1000,home_ml
