date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-01-09,Toledo Rockets,Miami (OH) RedHawks,away,106,0.9504125598238495,0.4854368932038835,0.46497566661996603,0.43865628926411887,0.1,1000,away_ml
2026-01-10,Detroit Mercy Titans,Wright St Raiders,away,-225,0.9363025642377245,0.6923076923076923,0.24399487193003222,0.5489884618425726,0.1,1000,away_ml
2026-01-10,Siena Saints,Merrimack Warriors,home,-295,0.9837243440160163,0.7468354430379747,0.2368889009780416,0.6988222578852228,0.1,1000,home_ml
2026-01-10,Bowling Green Falcons,Akron Zips,away,-152,0.8106394886357119,0.6031746031746031,0.20746488546110875,0.3153466259008853,0.07883665647522133,788,away_ml
2026-01-10,Milwaukee Panthers,Northern Kentucky Norse,home,-184,0.8438496332814326,0.647887323943662,0.1959623093377706,0.3605706491814979,0.09014266229537447,901,home_ml
2026-01-10,Minnesota Golden Gophers,USC Trojans,away,160,0.5673402230149989,0.38461538461538464,0.18272483839961423,0.11420302399975889,0.028550755999939722,286,away_ml
2026-01-10,Fairfield Stags,Rider Broncs,home,-450,0.9698020749163723,0.8181818181818182,0.15162025673455404,0.6822911553054929,0.1,1000,home_ml
