date,home_team,away_team,side,odds,model_prob,implied_prob,edge,kelly_full,kelly_applied,bet_size_dollars,market
2026-02-01,Merrimack Warriors,Sacred Heart Pioneers,away,220,0.7887872760598591,0.3125,0.4762872760598591,0.21649421639084504,0.05412355409771126,541,away_ml
2026-02-01,Western Carolina Catamounts,Samford,away,106,0.9504125598238495,0.4854368932038835,0.46497566661996603,0.43865628926411887,0.1,1000,away_ml
2026-02-01,Duquesne Dukes,Rhode Island Rams,away,116,0.9136931359745211,0.46296296296296297,0.4507301730115581,0.3885604939754811,0.09714012349387027,971,away_ml
2026-02-01,Green Bay Phoenix,Wright St Raiders,away,-194,0.9753448617407963,0.6598639455782312,0.315480916162565,0.6120329773553762,0.1,1000,away_ml
2026-02-01,Oakland Golden Grizzlies,Northern Kentucky Norse,home,-285,0.988730307177491,0.7402597402597403,0.2484705669177507,0.7081411157155896,0.1,1000,home_ml
2026-02-01,Fairfield Stags,Quinnipiac Bobcats,home,102,0.6922331652444671,0.49504950495049505,0.19718366029397205,0.1933173140136981,0.04832932850342452,483,home_ml
2026-02-01,Furman Paladins,Chattanooga Mocs,home,-400,0.981386720845337,0.8,0.1813867208453369,0.7255468833813477,0.1,1000,home_ml
2026-02-01,Rider Broncs,Saint Peter's Peacocks,away,-375,0.9672424238936376,0.7894736842105263,0.17776873968311124,0.6666327738116673,0.1,1000,away_ml
